Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"O TSE respondeu ao Ministério da Defesa dizendo que não existe sala secreta de apuração. Mas, não é o que diz esta reportagem do Jornal Nacional de 2014. Ela mostra os detalhes dessa sala, onde 'um seleto grupo de 23 pessoas testemunhou o que a população brasileira inteira queria ver'",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/05/11/votos-nao-sao-apurados-em-sala-secreta-do-tse-boletins-permitem-contagem.htm,Falso,2022-05-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSZPRXr6rR02eS9pCL23hBLb3Qv43NBxufirR2m86Hnu7-QLwEU,"['Tribunal Superior Eleitoral', '2014', 'Jornal Nacional', 'Brasil', 'Reportagem', 'Ministério da Defesa']"
Votos de 2022 serão recontados por erros e falhas no processo eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/tse-nao-decidiu-retotalizar-votos-de-deputados-por-erros-ou-falhas-nas-eleicoes-de-2022/,não_é_bem_assim,2025-06-05 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT35N_OIFH_KFgM7_u98CFGQ67tzPPb0qX1Valz0R8unLjErwvn,"['Eleição', 'Votação', '2022', 'Processo judicial']"
Apuração foi baseada em portal de notícias,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2020/11/24/e-falso-que-o-tse-atualizou-apuracao-da-votacao-baseado-em-site-de-noticias.htm,Falso,2020-11-24 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-Aa6Pab3rTZ1_NZE0n6BPvGGa75u3OJaX7uvzQxj2OYrfuzsN,"['Notícia', 'Portal']"
Apuração secreta é fraude,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/apuracao-da-eleicao-brasileira-e-aberta-a-qualquer-pessoa-ao-contrario-do-que-afirma-post/,"FALSO: Post sugere que apuração das eleições municipais deste ano foi secreta e que isso configura fraude, mas o processo é aberto e qualquer cidadão tem acesso aos resultados das seções eleitorais",2020-11-18 08:00:00,,['Fraude']
Não é possível recontagem de votos e a população não pode auditar as eleições,Aos Fatos,https://www.aosfatos.org/noticias/falso-eleicoes-brasil-nao-sao-auditaveis-nem-permitem-recontagem/,falso,2024-10-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6jL2sM71tbVhdlgGkOimrojJRFam8bDe__IYH3S-17jbO_p38,"['Votação', 'Eleição']"
TSE admite falhas na contagem de votos,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/11/08/tse-barroso-falha-votos-falso.htm,Falso,2022-11-08 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQXheTBjLdul07BNFd7gbvH7FLLo5MDo8P08dE681c4zUXShj9w,"['Tribunal Superior Eleitoral', 'Votação']"
"Hackers quebraram o código-fonte e descobriram que Jair Bolsonaro venceu as eleições com 73,5% dos votos",Estadão,https://www.estadao.com.br/estadao-verifica/nao-hackers-nao-quebraram-codigo-fonte-das-urnas-nem-revelaram-vitoria-de-bolsonaro/,Falso,2023-09-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFk-9m5EM1sYrd41CDHU-2wK4LUEMVR8IcattlZ1-p8Un5OGsE,"['Jair Bolsonaro', 'Código-fonte', 'Eleição', 'Votação', 'Hacker']"
Totalização dos votos das eleições é feita em sala secreta,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/02/o-que-e-a-sala-cofre-do-tse-e-para-que-ela-serve.htm,Falso,2022-09-02 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj0WwhqqH4w4VtNdLmQyDmWgaH47FCFtv0oRsl-XBhX8ZIR1s6,"['Eleição', 'Votação']"
"Eleitor perderá voto caso aperte a tecla “confirma” da urna eletrônica enquanto o equipamento exibir o aviso ""Confira seu voto""",Estadão,https://www.estadao.com.br/estadao-verifica/confira-seu-voto-confirma-anula-falso/,Falso,2024-10-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRiJwYFW_9JgDjycfII_hPAW4BWDVF7LHjVtfI6ksjDhh9dIw59,"['Votação', 'Eleitor', 'Urna eleitoral', 'Máquina de votação', 'Eletrônica']"
"Barroso afirma que quem conta os votos por ocasião das eleições é um supercomputador de uma empresa terceirizada, contratada pelo TSE",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/contagem-de-votos-e-feita-pelo-tse-e-nao-por-empresa-terceirizada-como-afirma-post/,"Apesar de haver um prestador de serviço de suporte e manutenção dos computadores do tribunal, quem controla os equipamentos são os próprios servidores do TSE.",2022-07-07 07:00:00,,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Terceirização', 'Luís Roberto Barroso', 'Supercomputador']"
"TSE determina retotalização de votos das eleições de 2022, o que fere a democracia brasileira",Estadão,https://www.estadao.com.br/estadao-verifica/retotalizacao-de-votos-fere-democracia-troca-presidente-enganoso/,Enganoso,2025-06-06 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSYsmqwX9nz8Nz5vBognNmjG2YQnj06veHHUFXT3T8C_mMZuEsq,"['Eleição', 'Votação', 'Democracia', 'Tribunal Superior Eleitoral', 'Eleições presidenciais brasileiras, 2022', '2022', 'Brasil']"
O sistema de votos do TCE é invadido por rapaz de 19 anos,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-hacker-tenha-atacado-sistema-de-votos-do-tse/,"FALSO: Os dados vazados eram da área de Recursos Humanos e os hackers não chegaram a invadir o sistema de apuração dos votos ou as urnas eletrônicas. Além disso, a urna não é conectada à internet. O sistema operacional instalado nela impede a conexão com qualquer rede ou acesso remoto",2020-11-29 08:00:00,,"['Votação', 'Sistema']"
